排名靠前的网页,点击次数,展示,点击率,排名
https://www.edugamehq.com/es/,135,200,67.5%,1.3
https://www.edugamehq.com/,83,830,10%,6
https://www.edugamehq.com/es/language-games/,15,186,8.06%,2.4
https://www.edugamehq.com/ja/games/ragdoll-archers/,9,60,15%,19.53
https://www.edugamehq.com/fr/games/steal-brainrot-online/,6,14,42.86%,14
https://www.edugamehq.com/de/,4,13,30.77%,7.15
https://www.edugamehq.com/memory-games/,3,240,1.25%,68.59
https://www.edugamehq.com/he/,3,33,9.09%,34.73
https://www.edugamehq.com/es/about/,2,183,1.09%,4.37
https://www.edugamehq.com/es/trending/,2,182,1.1%,6.3
https://www.edugamehq.com/es/games/soccer-random/,2,47,4.26%,21.4
https://www.edugamehq.com/ar/games/bloxdhop-io/,2,29,6.9%,8.38
https://www.edugamehq.com/games/animal-dna-run/,2,20,10%,8.35
https://www.edugamehq.com/games/basketball-orbit/,2,11,18.18%,37.09
https://www.edugamehq.com/ja/,2,7,28.57%,4
https://www.edugamehq.com/games/steal-brainrot-online/,2,5,40%,19.4
https://www.edugamehq.com/es/memory-games/,1,174,0.57%,5.09
https://www.edugamehq.com/math-games/,1,132,0.76%,18.38
https://www.edugamehq.com/art-games/,1,66,1.52%,56.85
https://www.edugamehq.com/ar/,1,40,2.5%,5.53
https://www.edugamehq.com/games/alchemy-merge-clicker/,1,19,5.26%,5.79
https://www.edugamehq.com/games/nullify/,1,18,5.56%,9.22
https://www.edugamehq.com/games/mini-scientist/,1,16,6.25%,10
https://www.edugamehq.com/zh/games/bloxdhop-io/,1,12,8.33%,11.83
https://www.edugamehq.com/he/language-games/,1,8,12.5%,21.12
https://www.edugamehq.com/ko/games/steal-brainrot-online/,1,6,16.67%,17.83
https://www.edugamehq.com/fr/games/rgb-game,1,4,25%,3.75
https://www.edugamehq.com/ja/games/hextris/,1,4,25%,18.75
https://www.edugamehq.com/games/bloxdhop-io/,1,3,33.33%,11.33
https://www.edugamehq.com/de/games/astray/,1,2,50%,9
https://www.edugamehq.com/games/coil/,1,2,50%,9
https://www.edugamehq.com/es/games/animal-dna-run,1,2,50%,11
https://www.edugamehq.com/ja/games/doodle-jump/,1,2,50%,39.5
https://www.edugamehq.com/ja/games/tetris-jake/,1,1,100%,27
https://www.edugamehq.com/es/games/free-kick-classic/,1,1,100%,124
https://www.edugamehq.com/science-games/,0,661,0%,77.62
https://www.edugamehq.com/new-games/,0,272,0%,5.75
https://games.edugamehq.com/,0,182,0%,6.87
https://www.edugamehq.com/about/,0,123,0%,36.99
https://www.edugamehq.com/es/science-games/,0,107,0%,10.79
https://www.edugamehq.com/geography-games,0,99,0%,67.59
https://www.edugamehq.com/games/flexboxfroggy/,0,78,0%,42.44
https://www.edugamehq.com/puzzle-games/,0,71,0%,8.7
https://www.edugamehq.com/es/games/sudoku-puzzle/,0,71,0%,9.28
https://www.edugamehq.com/games/memory-game/,0,66,0%,76.06
https://www.edugamehq.com/trending/,0,61,0%,2.77
https://www.edugamehq.com/games/memory-match-game/,0,50,0%,73.22
https://www.edugamehq.com/games/pottery-master/,0,38,0%,29
https://www.edugamehq.com/ru/,0,36,0%,6.39
https://www.edugamehq.com/ko/games/match3/,0,36,0%,25.11
https://www.edugamehq.com/he/puzzle-games/,0,34,0%,61
https://www.edugamehq.com/ru/games/match3/,0,26,0%,16.31
https://www.edugamehq.com/fr/,0,25,0%,5.28
https://www.edugamehq.com/ru/games/rpg-game/,0,20,0%,12.55
https://www.edugamehq.com/games/animal-matching/,0,20,0%,50.25
https://www.edugamehq.com/games/volley-random/,0,19,0%,39.74
https://edugamehq.com/games/math-duck/,0,18,0%,29.83
https://www.edugamehq.com/zh/games/little-alchemy-2/,0,17,0%,3.76
